type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-64,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542637973,0,28,0,0,542.779436,128,69.8570 1.0000 21.9545 21.0950 19.7231 21.0950 20.2485 18.0278 18.0278 15.8114 15.8114 16.2788 16.2788 14.8661 16.2788 15.5563 16.2788 15.5563 16.2788 15.6205 13.6015 14.2127 12.2066 12.2066 13.6015 11.4018 11.6619 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 15.0000 16.6433 16.6433 16.6433 17.4929 19.2354 19.3132 18.9737 18.0278 18.0278 21.1896 18.3848 20.2485 19.3132 19.3132 19.2354 19.6977 19.3132 21.9317 21.9317 20.6155 20.1246 21.0238 24.6982 20.8087 23.3238,2025-06-08 17:14:08.490
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-67,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542674123,0,101,0,0,542.815522,256,111.8258 5.0000 25.4951 26.0000 23.2594 23.7697 21.5407 22.1359 21.5407 21.1896 22.1359 20.3961 20.3961 21.3776 20.3961 19.4165 20.3961 19.4165 20.6155 19.6469 18.6815 18.3848 17.4642 16.1555 17.0880 16.5529 15.6525 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 14.5602 18.7883 18.0278 16.1245 17.0294 20.2485 20.8087 17.6918 19.1050 19.8494 22.0227 21.2603 21.4009 20.8087 20.8087 20.8087 20.8087 21.6333 21.9545 22.4722 24.1868 22.8254 23.2594 22.8473 24.1661 25.0599,2025-06-08 17:14:08.520
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-65,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542732479,0,28,0,0,542.873920,128,69.8570 1.0000 21.6333 22.2036 19.2094 22.8035 20.0000 20.0000 18.6011 16.6433 17.8045 19.2354 18.7883 16.5529 17.8885 17.0000 18.7883 15.6525 17.0000 16.1245 15.2643 15.2643 13.6015 13.6015 14.4222 13.0384 12.8062 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 18.0278 20.0000 20.6155 20.5183 19.7990 22.0227 21.4009 21.4009 19.4165 20.0000 21.4009 19.8494 21.4009 19.8494 21.4009 20.5183 20.5183 19.1050 21.9317 21.9317 21.9317 21.2132 20.5183 24.2074 22.8035 23.4307,2025-06-08 17:14:08.577
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-69,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542775116,0,101,0,0,542.916502,256,111.8258 5.0000 30.0000 28.0179 27.0000 28.0713 26.0000 27.0000 25.0200 23.0868 26.0192 24.1868 24.3311 23.5372 24.3311 22.5610 23.3452 22.3607 20.3961 22.2036 20.0998 22.0907 20.0000 19.0263 19.0000 18.0000 18.2483 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 22.0227 23.0217 22.0227 22.0227 25.1794 23.5372 26.6833 24.0416 23.7697 27.6586 26.6833 25.7099 26.6833 26.4764 24.3311 26.4764 25.1794 27.1662 28.1603 26.3059 28.0713 28.1603 27.0740 28.0713 29.0172 30.0167,2025-06-08 17:14:08.619
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-63,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542829791,0,28,0,0,542.971217,128,69.8570 1.0000 24.7386 25.4951 20.6155 25.9615 23.7697 22.5610 21.5870 20.2237 20.3961 22.0227 21.0950 20.0000 21.0000 20.0250 22.0227 19.0000 21.0238 21.0950 18.2483 18.2483 17.4642 16.2788 18.4391 16.4924 16.7631 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 19.2354 21.5870 18.4391 21.8403 20.2485 23.7697 23.2594 22.8254 21.4709 21.4709 24.1661 21.4709 24.5967 21.9317 23.7065 21.5407 24.1661 20.6155 26.0000 24.6982 24.6982 23.4094 22.4722 28.1603 24.7386 29.1204,2025-06-08 17:14:08.672
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-67,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542876748,0,101,0,0,543.018166,256,111.8258 5.0000 25.0000 25.2982 22.5610 24.7386 21.8403 22.8035 20.2485 21.1896 18.7883 21.0238 20.6155 19.6977 19.7231 19.6977 20.1246 18.7883 18.3848 18.3848 17.4642 17.4642 15.8114 15.5242 16.2788 15.1327 15.1327 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 18.7883 20.2485 18.9737 19.9249 19.6469 21.5870 21.3776 21.2132 21.0950 22.0907 22.0907 21.0950 22.0907 22.0907 22.3607 21.2132 23.1948 21.3776 23.5372 23.5372 22.8035 23.7697 22.5610 25.9615 25.0000 26.2488,2025-06-08 17:14:08.722
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,542936420,0,28,0,0,543.077947,128,69.8570 1.0000 23.0000 24.0000 21.0000 25.0200 23.0000 21.0238 21.0000 18.0278 18.2483 20.2237 20.0998 18.2483 20.2237 19.2354 20.2237 18.4391 20.2237 19.1050 18.0000 18.0000 16.0000 15.0000 16.0312 15.0333 15.1327 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 16.0312 18.0000 17.0000 18.0000 17.0294 20.2237 20.3961 20.3961 19.6469 18.6815 21.5870 18.4391 21.5870 19.2354 20.3961 20.0998 21.3776 20.2237 23.1948 23.1948 23.1948 22.0907 22.0907 26.0192 24.0000 27.0740,2025-06-08 17:14:08.779
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-69,11,1,6,0,1,1,1,0,0,0,-96,1,6,0,542980346,0,101,0,0,543.121728,256,111.8258 5.0000 26.1725 27.1662 25.0200 25.0200 23.1948 23.0868 22.0907 21.3776 23.3452 22.3607 20.8806 20.6155 19.6469 18.4391 18.6815 19.6469 18.6815 19.1050 18.1108 17.1172 16.1245 15.1327 15.0333 15.0333 15.0333 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 24.3311 23.5372 20.0998 23.0868 22.0907 27.2947 23.0000 24.0000 22.0907 24.1868 25.0799 25.0799 25.0000 26.0192 24.0000 24.0208 25.0000 26.0192 26.0192 26.0000 26.0192 25.1794 26.0000 27.0740 27.0740 29.0689,2025-06-08 17:14:08.836
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-62,11,0,0,0,0,0,0,0,0,0,-96,0,6,0,543042086,0,28,0,0,543.183550,128,69.8570 1.0000 23.4307 22.6716 19.8494 22.8035 20.6155 19.8494 19.2094 17.6918 19.8494 19.2094 19.8494 17.8045 18.4391 17.8045 19.2094 17.2047 18.4391 18.3848 16.2788 16.2788 15.0000 14.2127 14.8661 13.4536 13.6015 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 16.9706 18.4391 17.8045 18.6011 18.0278 19.7231 20.1246 19.6977 18.3848 18.7883 20.5913 19.2354 21.0238 19.7231 20.1246 19.7231 20.5913 18.8680 22.4722 21.9545 21.0950 20.2485 20.2485 23.4307 21.9317 23.6008,2025-06-08 17:14:08.889
CHANNEL_STATE_INFO,collector,24:0A:C4:C9:25:D8,-70,11,1,7,0,1,1,1,0,0,0,-96,1,6,0,543081514,0,101,0,0,543.222891,256,111.8258 5.0000 27.2947 24.3516 25.0799 24.3516 23.0868 23.4094 23.4094 22.1359 21.3776 20.6155 20.3961 19.4165 20.0998 20.0998 20.2237 19.2354 18.4391 18.2483 17.4642 17.4642 17.7200 15.8114 16.1555 16.1555 14.7648 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 16.7631 19.6977 19.6977 19.6977 19.2354 20.5913 21.0950 20.2485 21.9545 21.4009 23.0217 22.8035 23.0217 22.4722 22.2036 23.3238 21.9545 22.8254 23.7065 23.7065 23.2594 24.1661 25.4951 27.7308 25.0799 24.1661,2025-06-08 17:14:08.925
